code,name,notes
004,Afghanistan,
008,Albania,
010,Antarctica,
012,Algeria,
016,American Samoa,
020,Andorra,
024,Angola,
028,Antigua and Barbuda,
031,Azerbaijan,Until 1991 part of the USSR
032,Argentina,
036,Australia,
040,Austria,
044,Bahamas,
048,Bahrain,
050,Bangladesh,
051,Armenia,Until 1991 part of the USSR
052,Barbados,
056,Belgium,
060,Bermuda,
064,Bhutan,
068,Bolivia,
070,Bosnia and Herzegovina,Until 1992 part of Yugoslavia
072,Botswana,
074,Bouvet Island,
076,Brazil,
084,Belize,Formerly British Honduras
086,British Indian Ocean Territory,
090,Solomon Islands,Formerly British Solomon Islands
092,Virgin Islands (British),
096,Brunei,
100,Bulgaria,
104,Myanmar,Formerly Burma
108,Burundi,
112,Belarus,Formerly Byelorussian SSR
116,Cambodia,
120,Cameroon,
124,Canada,
132,Cape Verde,
136,Cayman Islands,
140,Central African Republic,
144,Sri Lanka,Formerly Ceylon
148,Chad,
152,Chile,
156,China,
158,Taiwan,
162,Christmas Island,
166,Cocos (Keeling) Islands,
170,Colombia,
174,Comoros,
175,Mayotte,"Until 1975 part of Comoros, own ISO code since 1993"
178,Congo,
180,Democratic Republic of Congo,
184,Cook Islands,
188,Costa Rica,
191,Croatia,Until 1992 part of Yugoslavia
192,Cuba,
196,Cyprus,
203,Czechia,Until 1993 part of Czechoslovakia
204,Benin,Formerly Dahomey
208,Denmark,
212,Dominica,
214,Dominican Republic,
218,Ecuador,
222,El Salvador,
226,Equatorial Guinea,
231,Ethiopia,
232,Eritrea,Until 1993 part of Ethiopia
233,Estonia,Until 1991 part of the USSR
234,Faeroe Islands,
238,Falkland Islands (Malvinas),
239,South Georgia and the South Sandwich Islands,Until 1993 part of the Falkland Islands
242,Fiji,
246,Finland,
248,"<span data-sort-value=""Aland Islands !"">Åland Islands",Until 2004 part of Finland
250,France,
254,French Guiana,
258,French Polynesia,
260,French Southern Territories,
262,Djibouti,Formerly French Territory of the Afars and the Issas
266,Gabon,
268,Georgia,Until 1991 part of the USSR
270,Gambia,
275,Palestine,
276,Germany,Unified country since 1990
288,Ghana,
292,Gibraltar,
296,Kiribati,Formerly Gilbert and Ellice Islands
300,Greece,
304,Greenland,
308,Grenada,
312,Guadeloupe,
316,Guam,
320,Guatemala,
324,Guinea,
328,Guyana,
332,Haiti,
334,Heard Island and McDonald Islands,
336,Vatican,
340,Honduras,
344,Hong Kong,
348,Hungary,
352,Iceland,
356,India,
360,Indonesia,
364,Iran,
368,Iraq,
372,Ireland,
376,Israel,
380,Italy,
384,Cote d'Ivoire,
388,Jamaica,
392,Japan,
398,Kazakhstan,Until 1991 part of the USSR
400,Jordan,
404,Kenya,
408,North Korea,
410,South Korea,
414,Kuwait,
417,Kyrgyzstan,Until 1991 part of the USSR
418,Laos,
422,Lebanon,
426,Lesotho,
428,Latvia,Until 1991 part of the USSR
430,Liberia,
434,Libya,
438,Liechtenstein,
440,Lithuania,Until 1991 part of the USSR
442,Luxembourg,
446,Macao,
450,Madagascar,
454,Malawi,
458,Malaysia,
462,Maldives,
466,Mali,
470,Malta,
474,Martinique,
478,Mauritania,
480,Mauritius,
484,Mexico,
492,Monaco,
496,Mongolia,
498,Moldova,
499,Montenegro,Until 2006 part of Yugoslavia/Serbia and Montenegro
500,Montserrat,
504,Morocco,
508,Mozambique,
512,Oman,Formerly Muscat and Oman
516,Namibia,
520,Nauru,
524,Nepal,
528,Netherlands,
531,Curacao,
533,Aruba,Until 1986 part of the Netherlands Antilles
534,Sint Maarten (Dutch part),Until 2010 part of the Netherlands Antilles
535,"Bonaire, Sint Eustatius and Saba",Until 2010 part of the Netherlands Antilles
540,New Caledonia,
548,Vanuatu,Formerly New Hebrides
554,New Zealand,
558,Nicaragua,
562,Niger,
566,Nigeria,
570,Niue,
574,Norfolk Island,
578,Norway,
580,Northern Mariana Islands,Until 1986 part of Pacific Islands (Trust Territory)
581,United States Minor Outlying Islands,Merger of uninhabited U.S. islands on the Pacific Ocean in 1986
583,Micronesia (country),
584,Marshall Islands,Until 1986 part of Pacific Islands (Trust Territory)
585,Palau,Until 1986 part of Pacific Islands (Trust Territory)
586,Pakistan,
591,Panama,
598,Papua New Guinea,
600,Paraguay,
604,Peru,
608,Philippines,
612,Pitcairn,
616,Poland,
620,Portugal,
624,Guinea-Bissau,Formerly Portuguese Guinea
626,Timor,
630,Puerto Rico,
634,Qatar,
638,Reunion,
642,Romania,
643,Russia,
646,Rwanda,
652,Saint Barthélemy,Until 2007 part of Guadeloupe
654,"Saint Helena, Ascension and Tristan da Cunha",
659,Saint Kitts and Nevis,Until 1985 part of Saint Kitts-Nevis-Anguilla
660,Anguilla,Until 1985 part of Saint Kitts-Nevis-Anguilla
662,Saint Lucia,
663,Saint Martin (French part),Until 2007 part of Guadeloupe
666,Saint Pierre and Miquelon,
670,Saint Vincent and the Grenadines,
674,San Marino,
678,Sao Tome and Principe,
682,Saudi Arabia,
686,Senegal,
688,Serbia,Until 2006 part of Yugoslavia/Serbia and Montenegro
690,Seychelles,
694,Sierra Leone,
702,Singapore,
703,Slovakia,Until 1993 part of Czechoslovakia
704,Vietnam,
705,Slovenia,Until 1992 part of Yugoslavia
706,Somalia,
710,South Africa,
716,Zimbabwe,Formerly Southern Rhodesia
724,Spain,
728,South Sudan,Until 2011 part of Sudan
729,Sudan,
732,Western Sahara,Formerly Spanish Sahara
740,Suriname,
744,Svalbard and Jan Mayen,
748,Eswatini,Formerly Swaziland
752,Sweden,
756,Switzerland,
760,Syria,
762,Tajikistan,Until 1991 part of the USSR
764,Thailand,
768,Togo,
772,Tokelau,
776,Tonga,
780,Trinidad and Tobago,
784,United Arab Emirates,Formerly Trucial States
788,Tunisia,
792,Turkey,
795,Turkmenistan,Until 1991 part of the USSR
796,Turks and Caicos Islands,
798,Tuvalu,
800,Uganda,
804,Ukraine,
807,North Macedonia,Until 1993 part of Yugoslavia
818,Egypt,Formerly United Arab Republic
826,United Kingdom,
831,Guernsey,Until 2006 part of the United Kingdom
832,Jersey,Until 2006 part of the United Kingdom
833,Isle of Man,Until 2006 part of the United Kingdom
834,Tanzania,
840,United States,
850,Virgin Islands (U.S.),
854,Burkina Faso,Formerly Upper Volta
858,Uruguay,
860,Uzbekistan,Until 1991 part of the USSR
862,Venezuela,
876,Wallis and Futuna,
882,Samoa,Formerly Western Samoa
887,Yemen,Unified country since 1990
894,Zambia,
